"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
7752025008679	COUNTER	SNACK		Maní Sabores Variados			0	1.2	-131	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7702024059158	COUNTER	SNACK		Galleta Integral Fitness 			0	0.6	-27	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750182000896	COUNTER	GASEOSA		Gaseosa Sprite			0	2	-29	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082003439	COUNTER	LIBRERIA		Lapiz ARTESCO 2B		Caja de 12	0.416666666666667	0.8	-14	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750168799584	COUNTER	SNACK		Cua Cua - Wafer cubierto chocolate	FIELD	Caja de 30	0.423333333333333	0.7	-53	0	2017:05:28:16:02:51	2017:05:28:16:02:51	
7757174006798	COUNTER	SNACK		Bon o Bon Tableta			0	1	-23	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7757174002240	COUNTER	SNACK		Chocolate Golpe			0	0.6	-69	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7757174004176	COUNTER	SNACK		Galletas Animalito FAUNA		Paq. de 20	0.465	0.7	-32	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
78021426	COUNTER	SNACK		Bon o Bon Bolita			0	0.7	-109	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7757174002554	COUNTER	SNACK		Chocolate Sapito			0	0.6	-29	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025006286	COUNTER	SNACK		Free Papas pequeña		Paq. de 12	0.416666666666667	0.6	-87	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
775073700844	COUNTER	LIBRERIA		Folder Colores (Surtidos)		Paq de 50 o 100	0.28	1	-36	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
4902505239809	COUNTER	LIBRERIA		Lapicero Pilot 0.7	PILOT		0	3	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000123456789	COUNTER	LIBRERIA		Chinches Colores x 2 Und			0	0.1	-35	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6944599284509	COUNTER	LIBRERIA		Posit Colores			0	3.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754111653107	COUNTER	LIBRERIA		Plumon grueso Pizarra 152 - FABER CASTELL	FABER CASTELL	Caja de 12	1.5	2.5	-19	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7802225138802	COUNTER	SNACK		Chicle Grosso			0.168	0.2	-18	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750277072776	COUNTER	LIBRERIA		Sobre Manila Medio Oficio			0	0.4	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7861151314018	COUNTER	LIBRERIA		Folder Colores A4 ( La Pluma)			0	1	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082773042	COUNTER	LIBRERIA		Folder de Plástico Artesco			0	5.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750049000235	COUNTER	LIBRERIA		Libreta Notas Loro			0	2.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750212033916	COUNTER	LIBRERIA		Block de Notas Navarrete			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754807020022	COUNTER	LIBRERIA		Vinifan A4			0	7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082416109	COUNTER	LIBRERIA		Grapas Caja Pequeña x 1000			0.8	1.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754111004299	COUNTER	LIBRERIA		Mini Engrapador  Artesco		docena	3.33333333333333	4.5	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082001121	COUNTER	LIBRERIA		Colores Artesco (Caja 12 Und)			0	4.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750080006133	COUNTER	LIBRERIA		Silicona Artesco (30 ml)			0	3	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAPEL012	COUNTER	LIBRERIA		Papel cuadriculado			0	0.2	22	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00042567984	COUNTER	LIBRERIA		Cartulina Blanca o Escolar Colores 			0.26	0.7	-51	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0000001234	COUNTER	LIBRERIA		Papel Crepe			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0000012345	COUNTER	LIBRERIA		Papel Lustre			0	0.5	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
4019968188046	COUNTER	LIBRERIA		Cutter			0	1	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082002654	COUNTER	LIBRERIA		Crayolas - Artesco			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7751271020244	COUNTER	GASEOSA		Jugo - Gloria			1.06	1.5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
