"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
7750082773042	COUNTER	LIBRERIA		Folder de Plástico Navarrete		Docena o fracción	3.7	5.5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750049000235	COUNTER	LIBRERIA		Libreta Notas Loro			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750212033916	COUNTER	LIBRERIA		Block A4 50 HOJAS 			2.5	3.5	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754807020022	COUNTER	LIBRERIA		Vinifan A4		Por docena o media docena	4	4.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082416109	COUNTER	LIBRERIA		Grapas Caja Pequeña x 1000	Artesco	Docena o fracción	0.8	2	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2802	COUNTER	LIBRERIA		Grapas Caja Grande x 5000	Artesco	Docena o fracción	2.33333333333333	4	3		2018:03:14:21:54:52	2018:03:14:21:54:52	V	
7750082001121	COUNTER	LIBRERIA		Colores Artesco (Caja 12 Und)			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750080006133	COUNTER	LIBRERIA		Silicona Artesco (30 ml)			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PAPEL012	COUNTER	LIBRERIA		Papel Cuadriculado			0	0.2	38	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00042567984	COUNTER	LIBRERIA		Cartulina Blanca o Escolar Colores 			0.28	0.7	-11	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000001234	COUNTER	LIBRERIA		Papel Crepe		Paquete de 10	0.6	1	11	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000012345	COUNTER	LIBRERIA		Papel Lustre			0.2	0.5	44	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4019968188046	COUNTER	LIBRERIA		Cutter			0	1	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082002654	COUNTER	LIBRERIA		Crayolas - Artesco			0	3.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
#314	COUNTER	GASEOSA		Agua Vida 1000 ml		Paq. de 6	1.23333333333333	1.8	0		2018:05:21:10:22:26	2018:05:21:10:22:26	F	
7750082001169	COUNTER	LIBRERIA		Tampón grande - Artesco			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7757174004176	COUNTER	SNACK		Galletas Animalito San Jorge		Paq. de 20	0.435	0.7	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#282h	COUNTER	HELADERÍA		Helado Sin Parar		paq. de 18	2.76333333333333	3.5	13		2018:03:23:18:39:31	2018:03:23:18:39:31	V	
0012345678	COUNTER	LIBRERIA		Papel Celofán			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
0000123456	COUNTER	LIBRERIA		Papel de Seda			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754111653107	COUNTER	LIBRERIA		Plumon grueso Pizarra 152 - FABER CASTELL	FABER CASTELL	Caja de 12	1.5	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6933256618566	COUNTER	LIBRERIA		Porta Minas - Faber Castell			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7891360483977	COUNTER	LIBRERIA		Minas - Faber Castell			0	3	-6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750049005018	COUNTER	LIBRERIA		Cuaderno A5 - 100 hojas  Surco	SURCO	Docena	1.33333333333333	2	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123547687	COUNTER	LIBRERIA		Cartulina Negra y Canson		Paq. de 50 o 100	0.48	1	9	0	1899:12:30:00:00:00	2017:04:07:00:00:00	V	
7750277000403	COUNTER	LIBRERIA		Sobre Carta Gallo			0	0.2	16	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750807002785	COUNTER	LIBRERIA		Compas Escolar - Kp			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
9330921084775	COUNTER	LIBRERIA		Lapiz Bicolor - Arti			0.583333333333333	1	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123454678	COUNTER	LIBRERIA		Silicona - Barra 			0	0.5	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
775008239780	COUNTER	LIBRERIA		Dispensador Escarcha - Artesco			0	10	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750080005563	COUNTER	LIBRERIA		Alfileres 28mm - Artesco			0	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082002630	COUNTER	LIBRERIA		Plastilina Delgada 90gr - Artesco			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082207424	COUNTER	LIBRERIA		Regla Artesco 30cm 	Artesco	docena	0.67	1.5	7	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082002623	COUNTER	LIBRERIA		Plastilina Jumbo 180gr - Artesco			0	4.8	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
